"Prey","Predator","s(RLONG, RLAT)","s(GEAR_DEPTH, k = 4)","s(GEAR_TEMP, k = 4)","s(PRED_LEN, k = 4)","Year","adjR^2","Dsquared","df","logLik","AIC","delta","weight"
"Euphausiacea","Pacific Cod","+","+",NA,"+",NA,0.108763668441941,0.0698568135150771,32,-4801.54002030692,9668.05391525142,236.508083063653,4.39462512283424e-52
"Euphausiacea","Pacific Cod","+",NA,"+","+",NA,0.10387609769324,0.0666052669875865,32,-4818.32499600366,9702.22776498404,270.681932796273,1.6678794278527e-59
"Euphausiacea","Pacific Cod","+",NA,NA,"+",NA,0.102056637561623,0.0653976653528836,30,-4824.55881856116,9709.89666355548,278.350831367716,3.60482748827189e-61
"Euphausiacea","Arrowtooth Flounder","+","+","+","+","+",0.350404281026556,0.225413505566504,49,-4956.10419362237,10012.046795391,0,0.915380622944744
"Euphausiacea","Arrowtooth Flounder","+","+",NA,"+","+",0.349700775199894,0.224887067045694,48,-4959.47255103555,10016.8091487441,4.76235335309502,0.0846193770552563
"Euphausiacea","Arrowtooth Flounder","+","+","+","+",NA,0.317112193617692,0.200891047164558,35,-5113.00837384914,10297.9622799563,285.915484565334,7.51351393478911e-63
"Euphausiacea","Arrowtooth Flounder","+","+",NA,"+",NA,0.316088214066503,0.200149167781878,34,-5117.75520528254,10305.4731990149,293.426403623889,1.75738836034289e-64
"Euphausiacea","Arrowtooth Flounder","+",NA,"+","+","+",0.275329895663592,0.17119117476385,48,-5303.03965274828,10703.6494504788,691.60265508779,6.0533157475667e-151
"Euphausiacea","Arrowtooth Flounder","+",NA,NA,"+","+",0.271180557030585,0.168303941418212,45,-5321.51328919187,10734.8365775747,722.78978218372,1.02280943529987e-157
"Euphausiacea","Arrowtooth Flounder","+",NA,"+","+",NA,0.236739513281012,0.144751942054041,35,-5472.20809688062,11014.4219915445,1002.37519615347,1.98881080984932e-218
"Euphausiacea","Arrowtooth Flounder","+",NA,NA,"+",NA,0.232491698718948,0.141896924790373,32,-5490.4756023626,11045.0871210616,1033.04032567064,4.36259807868246e-225
"Walleye pollock","Pacific halibut","+","+","+","+","+",0.3550177870619,0.26859117909601,48,-2097.83845304903,4293.21251858279,0,0.999574008534433
"Walleye pollock","Pacific halibut","+","+",NA,"+","+",0.350692896173963,0.264928132476436,46,-2108.34486182375,4308.77476256002,15.5622439772205,0.000417365562784007
"Walleye pollock","Pacific halibut","+",NA,"+","+","+",0.349081150083877,0.263565899370324,46,-2112.25204055928,4316.53314827878,23.3206296959897,8.62590278137052e-06
"Walleye pollock","Pacific halibut","+","+","+","+",NA,0.335376899662041,0.252045465441742,35,-2145.29513301382,4362.27486321913,69.0623446363352,1.00720381807016e-15
"Walleye pollock","Pacific halibut","+","+",NA,"+",NA,0.330169270245935,0.247696628997826,32,-2157.76853510759,4381.08519140929,87.8726728264955,8.28908313741292e-20
"Walleye pollock","Pacific halibut","+",NA,NA,"+","+",0.332950885288427,0.250017558323415,43,-2151.11160857502,4388.52729020916,95.3147716263611,2.0066668408776e-21
"Walleye pollock","Pacific halibut","+",NA,"+","+",NA,0.320006960549375,0.239255471584757,32,-2181.97959751656,4429.79488527068,136.582366687887,2.19447615360866e-30
"Walleye pollock","Pacific halibut","+",NA,NA,"+",NA,0.307223326913151,0.228720891295018,29,-2212.19504883041,4483.81817505778,190.605656474983,4.0768294308389e-42
"Walleye pollock","Pacific cod","+","+","+","+","+",0.366531226832025,0.317361033668072,48,-1489.80775608404,3076.48984066434,0,0.6562717577271
"Walleye pollock","Pacific cod","+","+",NA,"+","+",0.365072884905297,0.316005535236945,46,-1492.76602857602,3077.84376444781,1.35392378346387,0.33349006548325
"Walleye pollock","Pacific cod","+",NA,"+","+","+",0.363148765785862,0.314218352764817,45,-1496.66641873807,3084.81128585705,8.3214451927015,0.0102354007339279
"Walleye pollock","Pacific cod","+",NA,NA,"+","+",0.357976419499285,0.3094211261313,43,-1507.13600192742,3101.236438928,24.74659826366,2.77605572180702e-06
"Walleye pollock","Pacific cod","+","+","+","+",NA,0.329243410235551,0.282956236046853,34,-1564.89361679606,3198.87237318919,122.382532524846,1.74604099656963e-27
