,Pred_name,Com_name,F,E,T,max,min,Fork length (cm)* Mean,SD,year
104,Hexagrammos decagrammus,kelp greenling,34,NA,34,45,37,41.35294118,3.170721674,2007
105,Hippoglossoides elassodon,flathead sole,110,27,137,49,8,29.12408759,8.830466359,2007
106,Hippoglossus stenolepis,Pacific halibut,1113,138,1251,167,16,61.02717826,18.07484608,2007
107,Isopsetta isolepis,butter sole,40,9,49,42,16,28.34693878,6.199969827,2007
108,Lepidopsetta bilineata,rock sole,184,10,194,58,15,32.36597938,9.684937149,2007
109,Lepidopsetta polyxystra,northern rock sole,132,4,136,45,14,30.58823529,8.788435658,2007
110,Limanda aspera,yellowfin sole,67,5,72,45,17,29.01388889,6.983870866,2007
111,Merluccius productus,North Pacific hake,6,NA,6,65,51,53.33333333,5.715476066,2007
112,Microstomus pacificus,Dover sole,584,8,592,64,24,42.74493243,6.304523233,2007
113,Oncorhynchus tshawytscha,Chinook salmon,3,NA,3,62,62,62,0,2007
114,Ophiodon elongatus,NA,33,3,36,130,54,94.11111111,15.92621877,2007
115,Parophrys vetulus,English sole,27,NA,27,51,23,34.03703704,9.229890746,2007
116,Platichthys stellatus,starry flounder,5,5,10,67,40,52.4,8.720346578,2007
117,Pleurogrammus monopterygius,Atka mackerel,80,8,88,49,29,42.03409091,5.861326325,2007
118,Pleuronectes quadrituberculatus,Alaska plaice,90,NA,90,58,32,43.83333333,6.729525753,2007
119,Raja binoculata,big skate,36,1,37,127,53,88.7027027,20.7977895,2007
120,Raja rhina,longnose skate,17,2,19,104,46,76.26315789,18.32982423,2007
121,Sebastes alutus,Pacific ocean perch,18,NA,18,24,12,18.38888889,4.88862893,2007
122,Sebastes babcocki,redbanded rockfish,45,NA,45,47,21,34.53333333,6.173992373,2007
123,Sebastes brevispinis,silvergray rockfish,17,3,20,64,44,50.3,4.657760926,2007
124,Sebastes ciliatus,dusky rockfish,6,NA,6,37,37,37,0,2007
125,Sebastes proriger,redstripe rockfish,28,6,34,48,24,39.82352941,7.158256891,2007
126,Sebastes ruberrimus,yelloweye rockfish,1,2,3,54,49,52,2.645751311,2007
127,Sebastes variabilis,NA,82,3,85,48,34,43.41176471,2.665002982,2007
128,Sebastes variegatus,harlequin rockfish,37,NA,37,37,15,32.75675676,4.238745919,2007
129,Sebastes zacentrus,sharpchin rockfish,72,8,80,37,20,28.575,5.056077932,2007
130,Squalus acanthias,spiny dogfish,14,NA,14,102,71,81.14285714,9.614549414,2007
131,Trichodon trichodon,NA,6,2,8,23,14,18.875,2.748376144,2007
132,Albatrossia pectoralis,giant grenadier,6,1,7,27,21,24.57142857,1.902379462,2009
133,Anoplopoma fimbria,sablefish,604,155,759,100,24,55.70487484,13.97972014,2009
134,Atheresthes stomias,arrowtooth flounder,969,565,1534,80,8,40.20925684,13.8022524,2009
135,Bathyraja abyssicola,deepsea skate,4,NA,4,77,77,77,0,2009
136,Bathyraja aleutica,Aleutian skate,26,1,27,136,89,111.3703704,16.73813736,2009
137,Bathyraja interrupta,sandpaper skate,35,1,36,80,53,68.69444444,8.648102829,2009
138,Bathyraja parmifera,Alaska skate,9,NA,9,116,55,71.66666667,25.45093319,2009
139,Coryphaenoides acrolepis,Pacific grenadier,53,9,62,22,2,10.75806452,5.658840418,2009
140,Coryphaenoides cinereus,popeye grenadier,3,3,6,11,9,10,0.894427191,2009
141,Embassichthys bathybius,NA,11,3,14,43,30,38.5,3.275785285,2009
142,Gadus chalcogrammus,walleye pollock,2242,74,2316,73,9,44.9425734,15.74271215,2009
143,Gadus macrocephalus,Pacific cod,3541,20,3561,103,13,48.26060095,14.37775047,2009
144,Glyptocephalus zachirus,Rex sole,1557,15,1572,59,14,35.54643766,6.55164131,2009
145,Hemilepidotus jordani,yellow Irish lord,244,NA,244,43,15,36.00409836,4.493706574,2009
146,Hexagrammos decagrammus,kelp greenling,110,NA,110,43,26,37.52727273,4.780904469,2009
147,Hippoglossoides elassodon,flathead sole,341,117,458,51,6,30.60043668,9.830275201,2009
148,Hippoglossus stenolepis,Pacific halibut,983,189,1172,144,17,58.02901024,18.17184818,2009
149,Isopsetta isolepis,butter sole,58,13,71,45,21,32.25352113,5.944308947,2009
150,Lepidopsetta bilineata,rock sole,482,62,544,56,17,35.12316176,7.870820316,2009
151,Lepidopsetta polyxystra,northern rock sole,325,33,358,60,13,33.13128492,8.108996562,2009
152,Limanda aspera,yellowfin sole,69,7,76,42,16,34.09210526,6.186388568,2009
153,Lyopsetta exilis,slender sole,27,2,29,36,18,29.34482759,4.638933545,2009
154,Merluccius productus,North Pacific hake,53,7,60,76,24,53.56666667,9.722186172,2009
155,Microstomus pacificus,Dover sole,946,44,990,61,19,42.50707071,5.791406983,2009
156,Oncorhynchus keta,chum salmon,11,NA,11,54,51,53.63636364,0.924416278,2009
157,Ophiodon elongatus,NA,39,5,44,128,59,79.09090909,15.52315327,2009
158,Parophrys vetulus,English sole,285,8,293,56,25,37.60068259,7.338274559,2009
159,Platichthys stellatus,starry flounder,26,13,39,65,44,54.35897436,5.860156184,2009
160,Pleurogrammus monopterygius,Atka mackerel,59,19,78,52,26,45.11538462,5.853139393,2009
161,Pleuronectes quadrituberculatus,Alaska plaice,122,3,125,62,34,47.656,8.038319516,2009
162,Psettichthys melanostictus,Pacific sand sole,11,3,14,48,31,41.21428571,5.976602732,2009
163,Raja binoculata,big skate,81,3,84,177,53,112.547619,25.8216332,2009
164,Raja rhina,longnose skate,44,5,49,138,77,115.5102041,18.82609276,2009
